GEOGRAPHY,ADULT_RESIDENTIAL_TX_SVCS,ALL,BH_PREVENTION_EDUCATION_SVC,CASE_MANAGEMENT/BROKERAGE,CRISIS_INTERVENTION,CRISIS_RESIDENTIAL_TX_SVCS,CRISIS_STABILIZATION,FULL_DAY_REHAB,FULL_DAY_TX_INTENSIVE,ICC,IHBS,INPATIENT_ADMIN,MEDICATION_SUPPORT_SVCS,MENTAL_HEALTH_SVCS,MOBILE_CRISIS,PSYCHIATRIC_HEALTH_FACILITY,SDMC_HOSPITAL_INPATIENT,SELF_HELP_PEER_SVCS,TFC,THERAPEUTIC_BEHAVIORAL_SVCS
Solano,0.0,24510.0,0.0,639.0,0.0,0.0,0.0,0.0,0.0,23578.0,11698.0,0.0,354.0,1550.0,0.0,0.0,0.0,0.0,0.0,0.0
Sonoma,0.0,13777.0,0.0,1564.0,0.0,0.0,0.0,0.0,0.0,13057.0,5430.0,0.0,514.0,2972.0,0.0,0.0,0.0,0.0,0.0,0.0
Stanislaus,0.0,39422.0,0.0,6122.0,2910.0,0.0,0.0,0.0,0.0,35605.0,16001.0,0.0,8528.0,13960.0,0.0,0.0,0.0,0.0,0.0,217.0
Sutter/Yuba,0.0,20273.0,0.0,4049.0,0.0,0.0,0.0,0.0,0.0,15772.0,897.0,0.0,1988.0,8988.0,0.0,0.0,0.0,30.0,0.0,0.0
Tehama,0.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trinity,0.0,669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0
Tulare,0.0,9657.0,0.0,3495.0,0.0,0.0,0.0,0.0,0.0,8610.0,1049.0,0.0,1710.0,5678.0,0.0,0.0,0.0,0.0,0.0,0.0
Tuolumne,0.0,381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0
Ventura,0.0,67913.0,0.0,13624.0,125.0,0.0,0.0,0.0,0.0,62514.0,6956.0,0.0,6259.0,22662.0,0.0,0.0,0.0,0.0,0.0,719.0
Yolo,0.0,28202.0,0.0,11180.0,1676.0,0.0,0.0,0.0,0.0,14276.0,6499.0,0.0,3853.0,15059.0,0.0,0.0,0.0,0.0,0.0,163.0
