RPT_DATE,RPT_YR,GEOGRAPHY,SVC_DESC,AMOUNT,AMOUNT_ANNOT,AMOUNT_TYPE
6/30/2020,FY1920,Fresno,PSYCHIATRIC_HEALTH_FACILITY,115,,DAYS
6/30/2020,FY1920,Fresno,PSYCHIATRIC_HEALTH_FACILITY,89156,,DOLLARS
6/30/2020,FY1920,Fresno,THERAPEUTIC_BEHAVIORAL_SVCS,54,,MEMBERS
6/30/2020,FY1920,Fresno,THERAPEUTIC_BEHAVIORAL_SVCS,150750,,MINUTES
6/30/2020,FY1920,Fresno,THERAPEUTIC_BEHAVIORAL_SVCS,301498,,DOLLARS
6/30/2020,FY1920,Glenn,ALL,72,,MEMBERS
6/30/2020,FY1920,Glenn,ALL,184621,,DOLLARS
6/30/2020,FY1920,Glenn,CASE_MANAGEMENT/BROKERAGE,12,,MEMBERS
6/30/2020,FY1920,Glenn,CASE_MANAGEMENT/BROKERAGE,3582,,MINUTES
6/30/2020,FY1920,Glenn,CASE_MANAGEMENT/BROKERAGE,10459,,DOLLARS
6/30/2020,FY1920,Glenn,CRISIS_INTERVENTION,,1,MEMBERS
6/30/2020,FY1920,Glenn,CRISIS_INTERVENTION,,1,DOLLARS
6/30/2020,FY1920,Glenn,CRISIS_INTERVENTION,,1,MINUTES
6/30/2020,FY1920,Glenn,ICC,56,,MEMBERS
6/30/2020,FY1920,Glenn,ICC,14366,,MINUTES
6/30/2020,FY1920,Glenn,ICC,41946,,DOLLARS
6/30/2020,FY1920,Glenn,IHBS,39,,MEMBERS
6/30/2020,FY1920,Glenn,IHBS,19874,,MINUTES
6/30/2020,FY1920,Glenn,IHBS,73331,,DOLLARS
6/30/2020,FY1920,Glenn,MEDICATION_SUPPORT_SVCS,,1,MEMBERS
6/30/2020,FY1920,Glenn,MEDICATION_SUPPORT_SVCS,,1,DOLLARS
6/30/2020,FY1920,Glenn,MEDICATION_SUPPORT_SVCS,,1,MINUTES
6/30/2020,FY1920,Glenn,MENTAL_HEALTH_SVCS,21,,MEMBERS
6/30/2020,FY1920,Glenn,MENTAL_HEALTH_SVCS,15446,,MINUTES
6/30/2020,FY1920,Glenn,MENTAL_HEALTH_SVCS,56981,,DOLLARS
6/30/2020,FY1920,Humboldt,ALL,93,,MEMBERS
6/30/2020,FY1920,Humboldt,ALL,2344134,,DOLLARS
