분야 및 연도,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
A 연료연소_2 제조업 및 건설업_f 기타_4 건설,1580.7,1553.7,1349.6,1341.5,1243.6,1202.9,1195.3,1367.2,1015.2,1053.4,1389.2,1310.8,1554.4,1629.3,1754.3,1908.5,2620.3,2344.9,2284.7,2297,2483.2,2518.2,2215.1,2151.9,2302.4,2550.6,2626.6,2211.9,2170.5,2136.7
A 연료연소_2 제조업 및 건설업_f 기타_5 섬유 및 가죽,5113.2,4897.3,4698.5,4860,4985.3,5201.1,5078.3,5162.4,5701,6197.2,5898.6,5608.8,5485.7,4958.4,4600.7,3925,3128.9,2732.7,2514.2,2236.3,2300.7,2034.9,1565.3,1032.1,1034.2,1022.8,925.9,872.9,706,672.3
A 연료연소_2 제조업 및 건설업_f 기타_6 기타제조,3499.7,4753.7,4683,4695,5110.5,5693.9,11564.7,10497.2,9562,10775.9,12737.1,14236.5,15853.6,16906.2,15958.4,17097.4,14019.3,17298.2,17322.1,17265.5,19703.3,22466.7,21449.4,21091.1,18067.6,21585.3,21986.6,21769.8,20959.1,19351.3
A 연료연소_3 수송,35492.4,38594.8,43960.2,55552,57566.2,64726.8,68803.4,74193.1,57543.3,62564.2,69910.3,73063.9,78042,80843.7,81000.7,81814.3,82631,85026.5,82852.5,83723.4,85444.9,85115.7,86481,88405.3,88717,94191.8,98774.8,98329.9,98102.2,100988.9
A 연료연소_3 수송_a 민간항공,823.9,898.4,1048.8,1177.6,1207.4,1331.6,1382,1586.5,1350.9,1301.3,1410.4,1302.2,1343.7,1379.2,1141.5,1035.2,970.7,939.5,979.6,1079.4,1138.1,1203.4,1209,1307.3,1413.2,1456.3,1656.1,1647.4,1597,1642.4
A 연료연소_3 수송_b 도로수송,30901.9,35447.5,40527.1,48839.5,51423.4,58533.6,64138,68705.5,52611.7,57998.2,64489,67529.8,72468.6,75075.6,75798.5,76862,77906.2,80482.2,78246.6,79258.4,81102,80732.6,82217.3,84817.7,85446.9,90124.4,94628.5,94271.4,94711.4,97462.1
A 연료연소_3 수송_c 철도,876.5,891.8,907,978,928.2,938.1,927.3,923.5,909.4,946.3,969.6,979.3,979.1,1001.1,856.1,808.1,736.4,659.9,650,573,556.1,505.8,508.1,448.4,375.3,341.8,299,289.1,287.8,273.4
A 연료연소_3 수송_d 해운,2441.2,1034.5,1137.7,4317.6,3676.4,3631.7,1961.8,2582.7,2204.2,2058.6,2750.1,2497.9,2901.5,3020.7,2877.8,2775.3,2680.4,2585.9,2622.8,2425.9,2268.9,2262.8,2145.4,1408.8,1009.6,1639.7,1406.9,1338.7,1018.9,1214.6
A 연료연소_3 수송_e 기타수송,448.9,322.6,339.6,239.2,330.8,291.9,394.3,394.9,467.1,259.9,291.3,754.8,349.2,367.2,326.8,333.7,337.3,358.9,353.5,386.7,379.8,410.9,401.1,423.1,472.1,629.6,784.3,783.2,487.2,396.4
A 연료연소_4 기타,74599,67514.4,67970.9,69824.3,68259.4,74541.7,78323.6,80100.9,62380,72384.2,69834.7,68277.5,68536.1,66328.9,62607.6,64332.2,60842,59537.2,57623.8,55050,55815.7,55599.2,55311.5,53638.2,49050.1,50221,51800.4,52582.4,52472.5,49531.8
A 연료연소_4 기타_a 상업공공,20271.3,15607.6,17415.1,19673.1,20174.5,22403.2,22412.8,25000.4,19378.4,22552.9,17876.3,15750.9,15653.8,15781.1,13698.9,17466.1,17071.8,16667.3,16101.1,15124.4,15138.3,14618.9,15903,15167.4,14324.7,15493.5,15455.5,15404.6,15105.6,13906.1
A 연료연소_4 기타_b 가정,49481.4,46594,44529.3,43355.3,40304.9,43724.6,46464.7,44663.7,33772.3,39970.3,41627.5,41525.4,42078.7,41222.9,40429.6,38891.6,36265.1,35632.7,35442.7,33529.7,34033,34807.2,33282.9,32188.6,29913.6,30501.2,32337.3,33462.8,33832.6,31644
A 연료연소_4 기타_c 농업임업어업,4846.3,5312.9,6026.5,6795.9,7780,8413.9,9446.1,10436.9,9229.3,9861,10331,11001.3,10803.6,9324.9,8479.1,7974.6,7505.1,7237.3,6080.1,6395.9,6644.3,6173.1,6125.6,6282.2,4811.9,4226.3,4007.6,3714.9,3534.2,3981.6
A 연료연소_5 미분류,181.5,4654.8,2940.9,3147.6,2837.6,2811.6,3068.2,2920.5,2652.7,2723.8,2401.1,3108.4,2829.3,3311.8,3140.3,3219.2,2842,2898,2593.4,2868.1,2938.8,2872,2919.9,2973.8,2854.3,3091.7,3066.7,3188.8,3115.1,2941.3
B 탈루,5112.3,4558.7,3789.7,3159.6,2733.1,2387.5,2396.3,2476.1,2351.4,2535.7,2669.5,2703.6,2713.2,2784.9,3060.3,3111.1,3170.3,3394.1,3451.9,3246.9,3780.4,4040.6,4350.6,4470.3,4092,3764.2,3896.7,3976.5,4427.2,4197.5
B 탈루_1 고체연료,4832.8,4226.7,3359.7,2640.5,2076.6,1605.6,1389.7,1266.5,1224.1,1178.1,1164.9,1071.4,931.4,925.7,895.7,794.9,792.7,810.1,778.4,707.1,585,585,587.8,509.5,490.7,495.2,484.5,416.8,336.8,304.3
B 탈루_2 석유 및 천연가스,279.5,332,430,519.1,656.5,781.9,1006.6,1209.6,1127.3,1357.6,1504.6,1632.2,1781.9,1859.2,2164.6,2316.2,2377.6,2584,2673.5,2539.9,3195.4,3455.6,3762.8,3960.8,3601.3,3269,3412.2,3559.6,4090.4,3893.3
B 탈루_2 석유 및 천연가스_a 석유,55.7,73.8,92.4,100.1,102.8,113.9,130.8,158.2,149.2,158.4,161.7,155.9,143,143.8,149.8,153.9,160.2,171,168.6,163.1,170,180.4,184.3,177.4,179.7,198.8,209.3,217.2,215.9,207.5
B 탈루_2 석유 및 천연가스_b 천연가스,223.8,258.2,337.6,419,553.7,668,875.8,1051.4,978.1,1199.3,1342.8,1476.3,1638.9,1715.4,2014.8,2162.3,2217.4,2413,2504.9,2376.8,3025.4,3275.3,3578.5,3783.4,3421.6,3070.2,3202.9,3342.4,3874.5,3685.8
산업공정,20445.1,24351,29955.4,34422.5,38742.5,43147.2,44771,49643.9,40765.7,48423.8,50869.9,49389,53682.9,56488.9,58664.7,54562,54323.1,51060.7,50709.6,47777.9,52936.2,52908.4,54423.2,55062.4,57907.6,54497,53467.1,56453.4,55795.1,51994.1
A 광물산업,18822.7,22481.8,24880.5,28968.3,31134.9,32713.1,32975.9,34157.2,27454.1,28458.4,29664.4,30759.3,32243.8,33120.6,31761.6,29055.9,29000.7,32653.3,32596.9,30545.8,31591.1,33292.1,33569.6,33824,35083.8,35583.1,36527.1,36594.6,35015.5,35112.4
A 광물산업_1 시멘트생산,15873,18962.3,21128.9,24700.5,26840,28104.6,28308.5,29320.4,22879,23719.4,24755.9,25665.3,27107.1,27920.4,26123.6,23325.9,23139.7,26275.1,26079.8,24553.4,24297.4,24720.6,24848.6,25050.1,25412,25778.7,26671.8,26350.6,24702.1,24929.9
A 광물산업_2 석회생산,261,302.2,327,361.9,517.8,648.3,644.6,761.7,773.5,827.4,815.2,798.8,769.5,906.3,946,1048.6,1044,1035.8,1885.8,2648.3,3017.4,3364.3,3415.5,3290.3,3336.2,3466,4171.1,4216.3,4366.4,4398.9
A 광물산업_3 석회석 및 백운석 소비,2458.6,2989.6,3167,3654.9,3486.9,3657.4,3714.5,3771.3,3567,3633.5,3807.9,3994.6,4082.1,3992.6,4401,4411.5,4563.8,5105.4,4395.2,3150.4,4059.1,4968.8,5104,5279.1,6115.2,6110.4,5444.7,5797.4,5718.1,5577.6
A 광물산업_4 소다회 생산 및 소비,230,227.7,257.6,251,290.3,302.9,308.3,303.9,234.7,278.2,285.5,300.6,285.1,301.4,291.1,269.9,253.2,237,236.1,193.7,217.4,238.4,201.5,204.5,220.5,228,239.5,230.3,229,206
A 광물산업_5 아스팔트 루핑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A 광물산업_6 아스팔트 도로포장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B 화학산업,370.8,659.8,2767.1,2840.6,3105.3,3642.1,4130.7,4950.1,5615.1,6640.3,7541.3,7918.4,7740.6,11187.5,13439,11591.9,10842.5,1465.3,769.6,729.9,725.1,835.1,985.9,936.7,889.8,817.5,912.2,947.7,958.4,933.8
C 금속산업,95.4,77.9,84.8,107.5,120.9,137.8,145.7,166.6,137.1,141.6,147.7,143.6,153.4,157.2,169.4,194.2,143.1,180.2,219,155.3,259,268.1,327.2,386.8,435.2,223.8,270.1,269.6,248.6,189.5
C 금속산업_1 철강생산,70.8,77.9,84.8,107.5,120.9,137.8,145.7,166.6,137.1,141.6,147.7,143.6,153.4,157.2,169.4,194.2,143.1,180.2,219,155.3,177.8,178.5,181.4,177.7,171,137.8,150.8,158.9,158.8,165.4
C 금속산업_2 합금철 생산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C 금속산업_3 알루미늄 생산,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C 금속산업_4 마그네슘 생산의 SF6 소비,,,,,,,,,,,,,,,,,,,,,81.3,89.6,145.8,209.1,264.2,86,119.3,110.7,89.7,24.1
D 기타산업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 할로카본 및 육불화황 생산,982.8,798.9,1871.1,2106,2267,2609.6,2859.5,3255.4,1943.1,3641.5,3236.2,556.9,1993.7,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,,,,,,
E 할로카본 및 육불화황 생산_1 부산물 배출,982.8,798.9,1871.1,2106,2267,2609.6,2859.5,3255.4,1943.1,3641.5,3236.2,556.9,1993.7,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,,,,,,
E 할로카본 및 육불화황 생산_2 탈루 배출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F 할로카본 및 육불화황 소비,173.4,332.6,351.9,400.1,2114.5,4044.6,4659.2,7114.6,5616.3,9542,10280.3,10010.8,11551.3,12023.6,13294.7,13720,14336.8,16761.7,17124,16346.8,20360.8,18513,19540.5,19914.8,21498.7,17872.6,15757.7,18641.5,19572.6,15758.4
F 할로카본 및 육불화황 소비_1 냉장 및 냉방,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F 할로카본 및 육불화황 소비_2 발포제,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F 할로카본 및 육불화황 소비_3 소화기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F 할로카본 및 육불화황 소비_4 에어로졸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F 할로카본 및 육불화황 소비_5 용매,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F 할로카본 및 육불화황 소비_6 기타 용도의 ODS 대체물질 사용,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F 할로카본 및 육불화황 소비_7 반도체 제조,,,,,,,,2028.8,1946.6,2520.2,2964.3,2729.5,2787.7,3303.4,4197.4,4697.1,5602.2,6559,6842.8,7312.1,8343.5,7996.9,8182.8,8826.3,9743.7,7285.5,4947.1,6236.2,7131,6200.8
F 할로카본 및 육불화황 소비_8 중전기기,173.4,332.6,345.4,387.3,543.5,1506.1,1152.2,1287.5,792.9,2695.7,2217.3,2070,2202.7,2392.8,2653.3,2540.2,2845,3084.3,3626.8,3398.4,4172.7,2857.6,2977.1,3322,3620.8,2857.3,3636.5,3068.2,3619.2,3232.7
F 할로카본 및 육불화황 소비_9 기타(잠재배출량),,,6.4,12.8,1570.9,2538.5,3506.9,3798.3,2876.7,4326.1,5098.7,5211.3,6560.9,6327.4,6444,6482.6,5889.6,7118.4,6654.5,5636.2,7844.6,7658.5,8380.6,7766.6,8134.3,7729.8,7174.2,9337.2,8822.5,6324.9
농업,20971.7,21238.4,21640.7,22108.4,22554.1,22820.7,23333.7,23341.8,23066.9,21941.9,21368.8,20868.3,20731.3,20474,20567.9,20738.7,20844.8,21070.5,21146,21654.6,22070.3,21120.6,21470.2,21347.7,21374.4,20984,20809.5,20958.2,21135.5,20964.7
A 장내발효,2960.2,3124.8,3361.7,3738.4,3967.9,4116.1,4425.5,4459.9,4292.2,3713.9,3376.9,3138.1,3102.2,3089.8,3210.3,3305,3465,3631.4,3818.3,3995,4262.3,4221.6,4390,4363.2,4492.7,4339.5,4318.1,4400.2,4471,4588.7
A 장내발효_1 소,2796.7,2940.4,3146.7,3500.9,3713.8,3843.9,4139.9,4162.5,3974.3,3399.5,3049.4,2801.2,2754.9,2732.3,2854.5,2949.8,3101.2,3263.5,3472.3,3651.7,3907.4,3938.5,4045.9,4002.5,4140.4,3979.9,3946,3997.5,4054.5,4163.8
A 장내발효_2 물소, NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO 
A 장내발효_3 양(면양),0.4,0.4,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.5,0.5,0.5,0.3,0.3,0.3,0.2,0.3,0.2,0.3
