분야 및 연도,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
F 작물잔사소각_2 두류(콩),7.7,7,6.2,5.6,5.2,5,4.9,4.5,4.2,3.8,3.8,3.6,3.6,3.5,3.6,4.2,4.6,4.3,3.9,3.8,3.7,3.6,3.5,3.9,4.1,3.9,3.2,2.7,2.8,3.2
F 작물잔사소각_3 근채류, NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO 
F 작물잔사소각_4 사탕수수, NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO 
F 작물잔사소각_5 기타,13.7,11.8,11.3,10.3,10.4,11.7,13.9,15.5,14.9,15.4,15.9,17.2,16.6,14.9,14.2,14.2,14.5,14.3,13.9,13.8,12.5,10.8,10.2,10.2,10.5,10.3,9.9,9.8,10,10.9
LULUCF,-37673.4,-33462.3,-32675.2,-30868.5,-33096.5,-31297.4,-34722.1,-39499.2,-48061,-55549.3,-58977.1,-58409,-56130.8,-55584.3,-56866.5,-54961.7,-56168.9,-56812.8,-57605.1,-57127.3,-54753.9,-53260,-48041.2,-43389.6,-44382,-45563.6,-46541.2,-42557.4,-42086.2,-39550.4
A 산림지,-38226.5,-34164.2,-33542.2,-31971.4,-34377.8,-33104.4,-37033.7,-41948.4,-50616.1,-58350.9,-61380.2,-60937.9,-58844.1,-58359.6,-59625.4,-57678.3,-59191.9,-60261.5,-61488.2,-61294.7,-58843.4,-57762.6,-51554.8,-47052.5,-47860.8,-48504.6,-49614.4,-45646.1,-45595.7,-43232.1
A 산림지_1 산림지로 유지된 산림지,-38226.5,-34164.2,-33542.2,-31971.4,-34377.8,-33104.4,-37033.7,-41948.4,-50616.1,-58350.9,-61380.2,-60937.9,-58844.1,-58359.6,-59625.4,-57678.3,-59191.9,-60261.5,-61488.2,-61294.7,-58843.4,-57762.6,-51554.8,-47052.5,-47860.8,-48504.6,-49614.4,-45646.1,-45595.7,-43232.1
A 산림지_2 타토지에서 전용된 산림지, IE , IE , IE , IE , IE , IE , IE , IE , IE , IE , IE , IE , IE , IE , IE , IE , IE , IE , IE , IE , IE , IE , IE , IE , IE , IE , IE , IE , IE , IE 
A 산림지_3 산림지에서 질소 시비로 인한 N2O 배출, NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE 
A 산림지_4 산림지에서 배수로 인한 Non-CO2 배출, NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO 
A 산림지_5 산림지에서 바이오매스 연소에 의한 배출, NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B 농경지,679.4,905.6,1180.2,1412.8,1722,2438.3,2947.5,3165.5,3270.6,3249.2,3233.3,3311.2,3427.2,3515.8,3545.1,3662.3,3953.2,4265.8,4535.5,4750.3,4833.7,4936.9,4367.4,4315.4,4349,3844.9,3748.8,3855,4007.8,4056.8
B 농경지_1 농경지로 유지된 농경지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B 농경지_2 타토지에서 전용된 농경지,-2520.3,-2166,-1680.2,-1263.2,-671.3,-678.3,-526.3,-521.6,-597.6,-618.8,-617.8,-557,-615.9,-560,-528.5,-515.8,-473.4,-543.6,-561.6,-576.7,-586.9,-546.9,-486.1,-428.7,-320.1,-225.3,-341.2,-325.4,-289.5,-255.8
B 농경지_3 타토지로 전용된 농경지,2843.4,2759.4,2609.1,2450.4,2228.4,2960.4,3334,3533,3692,3693.7,3678.7,3683.6,3825.2,3877.5,3893,3985.2,4249.6,4640.8,4939.2,5153.1,5269.9,5284.5,4674.4,4584.4,4508.4,3929.9,3937.6,4026.4,4160.8,4211.1
B 농경지_4 농경지로의 전용에 따른 N2O 배출,279,239.8,186,139.9,74.3,75.1,58.3,57.8,66.2,68.5,68.4,61.7,68.2,62,58.5,57.1,52.4,60.2,62.2,63.8,65,60.6,53.8,47.5,35.4,24.9,37.8,36,32,28.3
B 농경지_5 농경지에서 농업용 석회시용으로 인한 CO2 배출,77.2,72.5,65.3,85.8,90.6,81,81.5,96.3,110.1,105.8,103.9,123,149.7,136.3,122,135.8,124.6,108.4,95.7,110,85.8,138.8,125.2,112.2,125.3,115.4,114.7,118,104.4,73.2
B 농경지_6 농경지에서 바이오매스 연소에 의한 배출, NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C 초지,-535.7,-567.9,-548.9,-543.3,-542.2,-555.9,-568.3,-580,-581.8,-581.2,-587.4,-568.7,-537.7,-523.7,-488.1,-417.7,-283.9,-217.1,-182.6,-166.8,-152.3,-113.4,-122.2,-116.4,-102.9,-77.8,-54.6,-30.5,-16.6,-7.3
C 초지_1 초지로 유지된 초지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C 초지_2 타토지에서 전용된 초지,-535.7,-567.9,-548.9,-543.3,-542.2,-555.9,-568.3,-580,-581.8,-581.2,-587.4,-568.7,-537.7,-523.7,-488.1,-417.7,-283.9,-217.1,-182.6,-166.8,-152.3,-113.4,-122.2,-116.4,-102.9,-77.8,-54.6,-30.5,-16.6,-7.3
C 초지_3 초지에서 농업용 석회시용으로 인한 CO2 배출, NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO 
C 초지_4 초지에서 바이오매스 연소에 의한 배출, NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D 습지,296.4,274.8,288,280.5,285.4,299.3,296.8,318.5,328,317.9,332.5,341.2,353.2,349,334.9,295,304.3,312.8,336.3,328,316,333.4,312.3,318.5,332.7,376.3,360.6,332.2,319.3,322
D 습지_1 습지로 유지된 습지,209.8,195.2,204.9,197.6,202.2,202.5,204.6,224.2,233.1,226.9,240.3,247.7,258.8,259.4,254.5,240.5,257.2,262.7,275.8,266.5,258.7,274.5,259.7,265.6,278.2,313.7,295.4,281.5,283.7,290.3
D 습지_2 타토지에서 전용된 습지,86.6,79.6,83.1,82.9,83.2,96.8,92.2,94.2,94.9,91,92.2,93.5,94.4,89.6,80.4,54.6,47.2,50.2,60.5,61.5,57.3,58.9,52.6,52.9,54.5,62.6,65.2,50.7,35.6,31.7
D 습지_3 습지에서 배수로 인한 Non-CO2 배출, NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE 
D 습지_4 습지에서 바이오매스 연소에 의한 배출, NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 정주지, NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE 
F 기타토지, NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO 
G 기타,113.1,89.4,-52.3,-47.1,-184,-374.6,-364.4,-454.7,-461.6,-184.2,-575.2,-554.8,-529.4,-565.8,-633.1,-823.1,-950.6,-912.9,-806.1,-744.1,-907.9,-654.4,-1043.8,-854.6,-1099.9,-1202.4,-981.6,-1068.1,-801.1,-689.8
폐기물,10386.5,11638.9,12745.9,13502.2,14444.9,15788.8,16554.3,17271.9,16061.8,16890.1,18858.1,19769,18737.1,18836.3,17708.7,16798.9,17045.1,15804.7,15580.6,15527.2,15350.3,16019.3,16137.7,16373.7,15875.3,16838.6,17122.2,17727.3,17542.7,16912.5
A 폐기물매립,7491.8,8203.4,8745.4,9159.9,9552.4,9795.9,10099.4,10435.8,9547.7,9520.1,9543,9985.3,9982.2,10071.3,9013.4,8876,8614.2,7972.3,7857,7933.7,7754.6,7609.8,7250.3,7184.3,7335.4,7727.4,7598.2,7874.5,7833.6,7728.2
A 폐기물매립_1 관리형 매립,5347,5956.6,6497.3,6972.8,7392.2,7690.5,8057.1,8442.3,7607.5,7650.8,7750.3,8277.7,8357,8524.6,7542.1,7476.5,7283,6706,6652.4,6787.8,6664.7,6573,6264,6246.2,6443,6878.5,6790.8,7106.4,7103,7033.2
A 폐기물매립_2 비관리형 매립,2144.8,2246.8,2248.1,2187,2160.3,2105.4,2042.3,1993.4,1940.3,1869.4,1792.8,1707.6,1625.2,1546.7,1471.3,1399.5,1331.3,1266.3,1204.6,1145.8,1090,1036.8,986.2,938.1,892.4,848.9,807.5,768.1,730.6,695
B 하폐수처리,1465.2,1515.2,1619,1440.7,1812.6,1818.3,1721,1579.4,1595.3,1587.8,1572.4,1607.6,1663.8,1607.8,1544.6,1684.6,1513.1,1583,1527.7,1545.8,1659,1862.6,1679.7,1758.8,1696.2,1648.3,1742.6,2028.5,1864.7,1944.8
B 하폐수처리_1 폐수처리,73.9,88.5,112.9,130.5,177.5,211.5,116,112.8,95.3,116.3,116.3,137.3,161.8,164.6,129.7,182.4,120.2,229.4,214.2,213.3,261.8,458.8,298.1,397.6,346.3,280,375.7,480.8,322,406.6
B 하폐수처리_2 하수처리,1391.4,1426.7,1506.1,1310.2,1635,1606.8,1604.9,1466.6,1500,1471.5,1456.1,1470.3,1502.1,1443.3,1414.9,1502.2,1392.8,1353.6,1313.5,1332.6,1397.2,1403.8,1381.6,1361.3,1349.9,1368.3,1366.9,1547.6,1542.7,1538.2
C 폐기물소각,1429.5,1920.3,2381.5,2901.6,3065.5,4172.9,4728.7,5241,4903.6,5727.9,7636.2,8071.1,6933.6,6999.2,6986.8,6000.4,6630.6,5944,5881.4,5711.9,5642,6199.6,6842.7,6984.6,6338.6,6872,7144.3,7175.9,7095.9,6432.4
D 기타,,,,,14.4,1.7,5.3,15.8,15.1,54.3,106.5,105,157.5,158,164,237.9,287.3,305.3,314.5,335.8,294.7,347.3,365.1,446,505.1,590.9,637.1,648.4,748.6,807.1
별도항목(Memo Item),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C 국제벙커링 및 다국적 작전,13947.29,16767.68,20811.62,22053.41,25420.87,29288.16,34901.01,38302.88,37885.36,40982.93,38853.36,37972.61,38058.3,40698.17,42483.07,42937.31,41005.12,41603.62,39131.51,35925.67,38443.92,38167.73,37409.98,37433.98,37978.79,41036.7,46090.25,47006.56,46128.91,42103.37
C 국제벙커링 및 다국적 작전_1 벙커링,13947.29,16767.68,20811.62,22053.41,25420.87,29288.16,34901.01,38302.88,37885.36,40982.93,38853.36,37972.61,38058.3,40698.17,42483.07,42937.31,41005.12,41603.62,39131.51,35925.67,38443.92,38167.73,37409.98,37433.98,37978.79,41036.7,46090.25,47006.56,46128.91,42103.37
C 국제벙커링 및 다국적 작전_1 벙커링_a 국제 항공,6244.18,4259.3,5094.51,5631.91,6324.71,7151.28,7815.15,8510.27,7053.11,7281.06,7685.35,8053.67,9096.73,9560.44,10188.69,10603.59,8598.19,12112.59,11050.84,10525.99,11718.55,11818.67,11907.77,12572.86,12603.16,12961.62,14479.68,14833.01,15628.21,15925.65
C 국제벙커링 및 다국적 작전_1 벙커링_b 국제 해운,7703.11,12508.38,15717.11,16421.5,19096.16,22136.88,27085.86,29792.61,30832.24,33701.87,31168,29918.94,28961.57,31137.73,32294.37,32333.72,32406.94,29491.02,28080.67,25399.68,26725.37,26349.06,25502.21,24861.12,25375.62,28075.08,31610.57,32173.55,30500.69,26177.73
C 국제벙커링 및 다국적 작전_2 다국적 작전, C , C , C , C , C , C , C , C , C , C , C , C , C , C , C , C , C , C , C , C , C , C , C , C , C , C , C , C , C , C 
