iter	Passed	Remaining
0	140	70092
1	141	35277
2	142	23592
3	143	17752
4	143	14239
5	144	11895
6	145	10219
7	145	8965
8	146	7991
9	147	7210
10	147	6570
11	148	6036
12	149	5583
13	149	5196
14	150	4860
15	151	4569
16	151	4310
17	152	4080
18	153	3873
19	153	3687
20	154	3519
21	155	3368
22	155	3228
23	156	3100
24	156	2981
25	157	2872
26	158	2771
27	158	2677
28	159	2590
29	160	2508
30	160	2431
31	161	2359
32	162	2294
33	162	2232
34	163	2172
35	164	2115
36	164	2061
37	165	2011
38	166	1963
39	166	1917
40	167	1874
41	168	1832
42	168	1792
43	169	1754
44	169	1718
45	170	1683
46	171	1649
47	171	1617
48	172	1587
49	173	1557
50	173	1529
51	174	1501
52	174	1475
53	175	1450
54	176	1425
55	176	1402
56	177	1379
57	178	1358
58	178	1337
59	179	1316
60	180	1297
61	181	1282
62	182	1264
63	182	1246
64	183	1228
65	184	1211
66	184	1195
67	185	1178
68	186	1163
69	186	1147
70	187	1132
71	188	1118
72	188	1103
73	189	1089
74	189	1076
75	190	1063
76	191	1050
77	191	1037
78	192	1025
79	193	1013
80	194	1004
81	195	994
82	195	983
83	196	973
84	197	963
85	198	953
86	198	943
87	199	934
88	200	925
89	201	916
90	202	907
91	203	902
92	204	894
93	205	885
94	205	877
95	206	868
96	207	860
97	209	858
98	210	851
99	210	843
100	212	837
101	212	830
102	213	822
103	214	815
104	214	808
105	215	801
106	216	794
107	217	787
108	217	781
109	218	774
110	219	767
111	219	761
112	220	754
113	221	748
114	221	742
115	222	736
116	223	730
117	223	724
118	224	719
119	225	715
120	227	711
121	227	706
122	228	700
123	229	695
124	230	690
125	231	685
126	231	681
127	232	676
128	233	671
129	234	666
130	234	661
131	235	656
132	236	651
133	236	647
134	237	642
135	238	637
136	239	633
137	239	629
138	240	625
139	241	620
140	242	616
141	243	612
142	243	608
143	244	604
144	245	600
145	245	596
146	246	592
147	247	588
148	248	584
149	248	580
150	249	577
151	250	573
152	251	569
153	251	566
154	252	562
155	253	558
156	253	554
157	254	551
158	255	547
159	256	544
160	256	540
161	257	537
162	258	534
163	259	530
164	259	527
165	260	524
166	261	521
167	261	517
168	262	514
169	263	511
170	263	507
171	264	504
172	265	501
173	265	498
174	266	494
175	267	492
176	268	489
177	268	486
178	269	483
179	270	480
180	270	477
181	271	474
182	272	471
183	272	468
184	273	465
185	274	462
186	274	460
187	275	457
188	276	454
189	276	451
190	277	448
191	277	445
192	278	443
193	279	440
194	279	437
195	280	435
196	281	432
197	281	429
198	282	427
199	283	424
200	283	422
201	284	419
202	285	417
203	285	414
204	286	412
205	287	409
206	287	407
207	288	405
208	289	402
209	289	400
210	290	397
211	291	395
212	291	393
213	292	390
214	292	388
215	293	386
216	294	383
217	294	381
218	295	379
219	296	376
220	296	374
221	297	372
222	298	370
223	298	368
224	299	365
225	299	363
226	300	361
227	301	359
228	301	357
229	302	355
230	303	352
231	303	351
232	304	349
233	305	347
234	305	345
235	306	343
236	307	341
237	308	339
238	308	337
239	309	335
240	309	333
241	310	331
242	311	329
243	312	327
244	312	325
245	313	323
246	314	321
247	314	319
248	315	317
249	315	315
250	316	314
251	317	312
252	317	310
253	318	308
254	319	306
255	320	305
256	320	303
257	321	301
258	322	299
259	322	297
260	323	296
261	323	294
262	324	292
263	325	290
264	325	289
265	326	287
266	327	285
267	328	283
268	328	282
269	329	280
270	330	278
271	330	277
272	331	275
273	332	273
274	332	272
275	333	270
276	334	268
277	334	267
278	335	265
279	336	264
280	336	262
281	337	261
282	338	259
283	339	257
284	339	256
285	340	254
286	340	253
287	341	251
288	342	249
289	342	248
290	343	246
291	344	245
292	344	243
293	345	241
294	346	240
295	346	238
296	347	237
297	347	235
298	348	234
299	349	232
300	349	231
301	350	229
302	351	228
303	351	226
304	352	225
305	353	223
306	353	222
307	354	220
308	355	219
309	355	218
310	356	216
311	356	215
312	357	213
313	358	212
314	358	210
315	359	209
316	360	207
317	360	206
318	361	205
319	361	203
320	362	202
321	363	200
322	363	199
323	364	197
324	365	196
325	365	195
326	366	193
327	367	192
328	367	191
329	368	189
330	368	188
331	369	186
332	370	185
333	370	184
334	371	183
335	372	181
336	373	180
337	373	179
338	374	177
339	375	176
340	375	175
341	376	173
342	377	172
343	377	171
344	378	170
345	379	168
346	380	167
347	380	166
348	381	165
349	382	163
350	383	162
351	383	161
352	384	160
353	385	158
354	386	157
355	386	156
356	387	155
357	388	153
358	388	152
359	389	151
360	390	150
361	391	149
362	391	147
363	392	146
364	392	145
365	393	144
366	394	142
367	394	141
368	395	140
369	396	139
370	396	137
371	397	136
372	398	135
373	398	134
374	399	133
375	400	132
376	400	130
377	401	129
378	402	128
379	402	127
380	403	126
381	404	124
382	404	123
383	405	122
384	406	121
385	406	120
386	407	118
387	407	117
388	408	116
389	409	115
390	409	114
391	410	113
392	411	111
393	411	110
394	412	109
395	412	108
396	413	107
397	414	106
398	415	105
399	415	103
400	416	102
401	417	101
402	417	100
403	418	99
404	419	98
405	419	97
406	420	96
407	421	94
408	421	93
409	422	92
410	423	91
411	423	90
412	424	89
413	424	88
414	425	87
415	426	86
416	426	84
417	427	83
418	428	82
419	428	81
420	429	80
421	430	79
422	431	78
423	431	77
424	432	76
425	432	75
426	433	74
427	434	73
428	434	71
429	435	70
430	436	69
431	436	68
432	437	67
433	437	66
434	438	65
435	439	64
436	439	63
437	440	62
438	441	61
439	441	60
440	442	59
441	443	58
442	443	57
443	444	56
444	445	55
445	445	53
446	446	52
447	447	51
448	447	50
449	448	49
450	449	48
451	449	47
452	450	46
453	451	45
454	451	44
455	452	43
456	452	42
457	453	41
458	454	40
459	454	39
460	455	38
461	456	37
462	456	36
463	457	35
464	457	34
465	458	33
466	459	32
467	459	31
468	460	30
469	461	29
470	462	28
471	462	27
472	463	26
473	464	25
474	464	24
475	465	23
476	466	22
477	466	21
478	467	20
479	468	19
480	468	18
481	469	17
482	469	16
483	470	15
484	471	14
485	471	13
486	472	12
487	473	11
488	474	10
489	475	9
490	475	8
491	476	7
492	477	6
493	478	5
494	478	4
495	479	3
496	480	2
497	481	1
498	481	0
499	482	0
