iter	Logloss
389	0.3842977349
390	0.38414415
391	0.3839226875
392	0.3837977942
393	0.3835700651
394	0.383365742
395	0.3832266965
396	0.3830511989
397	0.3828235961
398	0.3826278093
399	0.3823779114
400	0.3822023374
401	0.3820276708
402	0.3818382804
403	0.3816037867
404	0.3813472858
405	0.3811911045
406	0.381062512
407	0.380784752
408	0.3806126958
409	0.3804097574
410	0.3802981818
411	0.380005235
412	0.3798702795
413	0.3797987774
414	0.3795772692
415	0.3794251304
416	0.3792606937
417	0.3789007603
418	0.3786540763
419	0.3784928191
420	0.378302601
421	0.3782180031
422	0.3780085523
423	0.3779249613
424	0.3775688779
425	0.3774516758
426	0.3771089502
427	0.3768635833
428	0.3767808357
429	0.3766950704
430	0.3764618169
431	0.3763733534
432	0.3762454164
433	0.3761342258
434	0.375990354
435	0.3757842098
436	0.3756010839
437	0.3754047253
438	0.375239559
439	0.3750734571
440	0.3749624967
441	0.3748358616
442	0.3747030439
443	0.3745624285
444	0.3744671782
445	0.3743054496
446	0.3741699682
447	0.374021741
448	0.373832218
449	0.3736782186
450	0.3735414974
451	0.3733373599
452	0.3730485889
453	0.3728466664
454	0.3726969468
455	0.3725570373
456	0.3723373542
457	0.3721388317
458	0.3719906365
459	0.371881435
460	0.3717051927
461	0.3713934544
462	0.3712464912
463	0.3709768438
464	0.3708793854
465	0.3707094022
466	0.3706003685
467	0.3704863061
468	0.3703540281
469	0.3701162125
470	0.3700431973
471	0.3698991344
472	0.3697728154
473	0.3696450767
474	0.3693930544
475	0.3692804149
476	0.3692139099
477	0.369082529
478	0.3689689969
479	0.3688337739
480	0.3686561579
481	0.3684774771
482	0.3683097726
483	0.3682025822
484	0.3680829793
485	0.3677762827
486	0.367542468
487	0.3674220576
488	0.3671831777
489	0.3670704809
490	0.3668945722
491	0.3667229677
492	0.3666013908
493	0.366443808
494	0.3662831747
495	0.3661384313
496	0.3658470653
497	0.365578374
498	0.3654679135
499	0.3652692319
